,loss,policy_net_loss,value_net_loss,val_loss,val_policy_net_loss,val_value_net_loss
206,0.8023443222045898,0.47808319330215454,0.3242608308792114,0.7203397154808044,0.4341753423213959,0.286164790391922
207,0.7995461821556091,0.4774051308631897,0.32214099168777466,0.7210246920585632,0.43420735001564026,0.28681719303131104
208,0.8027462363243103,0.4795948565006256,0.3231518566608429,0.7212141156196594,0.4343782663345337,0.28683575987815857
209,0.799321711063385,0.4761662781238556,0.3231561779975891,0.7206039428710938,0.4342487156391144,0.2863553464412689
210,0.8011210560798645,0.4766724705696106,0.3244486153125763,0.7198126912117004,0.4341614842414856,0.2856510281562805
211,0.8031361699104309,0.4786812663078308,0.32445552945137024,0.7220748662948608,0.434337317943573,0.2877376675605774
212,0.8012579679489136,0.47943106293678284,0.3218268156051636,0.721903383731842,0.43423059582710266,0.28767266869544983
213,0.8010631799697876,0.4772133231163025,0.32385003566741943,0.7213916778564453,0.4346431493759155,0.28674808144569397
214,0.8022276759147644,0.4788012206554413,0.32342618703842163,0.7218798995018005,0.4343624711036682,0.28751736879348755
215,0.799729585647583,0.47788378596305847,0.3218463659286499,0.7220001220703125,0.4342802166938782,0.2877199351787567
216,0.8034098148345947,0.47988954186439514,0.32352080941200256,0.720711350440979,0.43438950181007385,0.2863217294216156
217,0.7987697124481201,0.4768444299697876,0.3219251334667206,0.7227866053581238,0.4342806935310364,0.28850606083869934
218,0.7988367080688477,0.4788294732570648,0.32000732421875,0.7208089232444763,0.4344211518764496,0.28638756275177
219,0.8015244007110596,0.4785766005516052,0.3229472041130066,0.7220516800880432,0.43423423171043396,0.28781744837760925
220,0.8023092150688171,0.4785005748271942,0.32380834221839905,0.7206171751022339,0.4341607987880707,0.28645631670951843
221,0.800296425819397,0.47826293110847473,0.32203391194343567,0.7219575047492981,0.4342299699783325,0.2877274453639984
222,0.8013883233070374,0.47939532995224,0.32199224829673767,0.7215872406959534,0.43438857793807983,0.28719887137413025
223,0.801819384098053,0.4794169068336487,0.3224022090435028,0.7212464213371277,0.4343585669994354,0.28688785433769226
224,0.7966207265853882,0.47520530223846436,0.3214152157306671,0.7208968997001648,0.4339701533317566,0.28692686557769775
225,0.7990226745605469,0.47627735137939453,0.3227452337741852,0.7205851674079895,0.43436190485954285,0.286223441362381
226,0.8004199266433716,0.47802677750587463,0.32239314913749695,0.720375657081604,0.43418875336647034,0.28618714213371277
227,0.8024005889892578,0.48058223724365234,0.3218182325363159,0.7210937142372131,0.43425875902175903,0.28683531284332275
228,0.7983080744743347,0.4767976999282837,0.3215097486972809,0.7211858630180359,0.4342910349369049,0.2868945896625519
229,0.8001378178596497,0.47653356194496155,0.3236044645309448,0.7212483882904053,0.4343227744102478,0.28692561388015747
230,0.8001545071601868,0.47748231887817383,0.3226725459098816,0.7219568490982056,0.4346778094768524,0.2872790992259979
231,0.8027799129486084,0.4805184304714203,0.32226091623306274,0.7214291095733643,0.4342727065086365,0.28715625405311584
232,0.801121175289154,0.4790072739124298,0.32211366295814514,0.7208643555641174,0.4342411458492279,0.28662344813346863
233,0.7984445095062256,0.47776922583580017,0.32067611813545227,0.720582902431488,0.4343551993370056,0.28622785210609436
234,0.8045831918716431,0.48076340556144714,0.323820024728775,0.7211286425590515,0.433962881565094,0.2871660590171814
235,0.7982506155967712,0.4766436815261841,0.3216060996055603,0.7221445441246033,0.43441325426101685,0.2877313494682312
236,0.8005297183990479,0.47830912470817566,0.32222050428390503,0.7217073440551758,0.43446236848831177,0.28724488615989685
237,0.8021134734153748,0.4773809015750885,0.32473286986351013,0.7214126586914062,0.43477576971054077,0.2866370975971222
238,0.8009915947914124,0.4776556193828583,0.32333481311798096,0.7215937376022339,0.4345014989376068,0.287092387676239
239,0.8026732802391052,0.4813246726989746,0.3213486969470978,0.7207270860671997,0.43459591269493103,0.28613126277923584
240,0.8001240491867065,0.47598791122436523,0.3241356909275055,0.7202310562133789,0.4341605007648468,0.28607064485549927
241,0.8014318943023682,0.47670885920524597,0.32472333312034607,0.7205760478973389,0.4342857897281647,0.2862902283668518
242,0.8014252781867981,0.4785406291484833,0.3228847086429596,0.7216753363609314,0.4345111548900604,0.28716418147087097
243,0.8015113472938538,0.48182541131973267,0.31968554854393005,0.7214779257774353,0.4342612028121948,0.28721681237220764
244,0.7975584864616394,0.4765423834323883,0.32101598381996155,0.7237332463264465,0.434465616941452,0.28926780819892883
245,0.79932701587677,0.4764959514141083,0.32283151149749756,0.721450924873352,0.4345804452896118,0.2868703305721283
246,0.8006240725517273,0.4779665172100067,0.322658509016037,0.7216691374778748,0.4346778094768524,0.2869909703731537
247,0.7946239709854126,0.47522369027137756,0.31940025091171265,0.7222376465797424,0.4346641004085541,0.2875736951828003
248,0.7970609664916992,0.47652116417884827,0.3205399513244629,0.7224777340888977,0.4345102906227112,0.28796738386154175
249,0.8041231632232666,0.47987136244773865,0.3242511451244354,0.7204426527023315,0.4343467056751251,0.2860962748527527
250,0.7969476580619812,0.4759797155857086,0.32096800208091736,0.7217046618461609,0.43451207876205444,0.2871924936771393
251,0.8003506064414978,0.4766503572463989,0.3237001299858093,0.7207114100456238,0.4341965615749359,0.28651484847068787
252,0.8000608682632446,0.4779380261898041,0.3221234381198883,0.7209047675132751,0.43424510955810547,0.2866595685482025
253,0.796049952507019,0.476774126291275,0.319275438785553,0.722861647605896,0.4344674050807953,0.28839442133903503
254,0.7991222143173218,0.4776420295238495,0.3214800953865051,0.7209004163742065,0.4345940947532654,0.2863060235977173
255,0.8008070588111877,0.47885239124298096,0.3219549357891083,0.7229301929473877,0.4344763457775116,0.2884536683559418
256,0.8004796504974365,0.4776664078235626,0.32281294465065,0.7224161028862,0.4348403215408325,0.28757578134536743
257,0.7954719066619873,0.47625213861465454,0.3192193806171417,0.7220147848129272,0.43459782004356384,0.2874172031879425
258,0.7956483364105225,0.47524315118789673,0.32040414214134216,0.722345232963562,0.4348968267440796,0.2874481976032257
259,0.8004323244094849,0.47905129194259644,0.3213810920715332,0.7216008901596069,0.43510016798973083,0.2865005433559418
260,0.8025334477424622,0.48020562529563904,0.3223281502723694,0.7212101817131042,0.43480396270751953,0.2864062190055847
261,0.8023024797439575,0.4815315902233124,0.32077115774154663,0.7224040627479553,0.43439537286758423,0.28800857067108154
